fine_label	utterance
UNK:UNK	Monsanto Email Re: CanTox Glyphosate Manuscript AND Draft Manuscript Safety Evaluation & Risk Assessment of the Herbicide Roundup and Its Active Ingredient Glyphosate (Williams) Email and attachment whereby Dr. Hey dens makes changes and edits to the Williams genotox article. MONGLY03751011 6/11/1999
UNK:UNK	Monsanto Email between William Heydens and Douglas [Redacted] Re: Glyphosate Manuscript This document contains email correspondence between Monsanto’s William Heydens and Douglas [REDACTED] regarding the glyphosate manuscript. 3 Bates Title Description MONGLY01868620 MONGLY01868622- MONGLY01868625 6/24/1999
UNK:UNK	Monsanto Email Discussing Williams Draft Wherein Heydens States that He “Will Review Final Manuscript with the Reviewers Comments Incorporated” AND Potential for Endocrine Modulation In Vitro Assays Internal discussion re Williams and the final editing process. William Heydens attaches a portion of the draft. MONGLY01869261 - MONGLY01869370 7/30/1999
UNK:UNK	Monsanto Email: Heydens admits to having sprouted gray hairs during the writing of Williams, Kroes & Munro AND Draft of Williams et. al 2000 MONGLY01869261 is an email wherein Dr. Heydens admits to having sprouted gray hairs during the writing of Williams, Kroes, & Munro. 4 Bates Title Description MONGLY00905085 MONGLY00905086- MONGLY00905218 MONGLY00905219- MONGLY00905239 9/15/1999
UNK:UNK	Monsanto Email Where Heydens States “I’ll strangle Kroes or Williams if they ask for any re -writes!!” AND Safety Evaluation and Risk Assessment of the Herbicide Roundup and its Active Ingredient, Glyphosate, for Humans [DRAFT SEPT 15, 1999] AND Tables from Williams, Kroes & Munro Draft Above This document contains email correspondence between William Heydens and Donna Farmer re the Williams et al (2000) wherein Dr. Hey dens sends Dr. Farmer a near complete draft (attachment MONGLY00905086- MONGLY00905239) and states “I’ll strangle Kroes or Williams if they ask for any re -writes!!” MONGLY00894003 MONGLY00894004- MONGLY00894008 11/3/1999
UNK:UNK	Monsanto Email Re: very rough draft of adami proposal for ECPA AND Rough First Draft NHL Proposal for ECPA John Acquavella Rough First Draft NHL Proposal for ECPA wherein Acquavella critically evaluates Hardell et al. 1999 publication 5 Bates Title Description MONGLY01869147 11/16/1999
UNK:UNK	Monsanto Email Re: Change of Journal for Publication of Williams et al (2000) William Heydens email wherein Dr. Heydens writes to Monsanto colleagues re change of journal for publication of the Williams et al (2000) article. MONGLY02624347 5/11/2000
UNK:UNK	Monsanto CEO Hugh Grant Praises Monsanto Employees for Successful Publication of Ghostwritten Williams, Kroes & Munro Study This document contains email correspondence between Monsanto CEO Hugh Grant and numerous Monsanto employees regarding the successful publication of the ghostwritt en review, “Safety Evaluation and Risk Assessment of the Herbicide Roundup and Its Active Ingredient Glyphosate” in the names of Williams, Kroes, and Munro, 2000. MONGLY01841704 - MONGLY01841706 5/30/2000
UNK:UNK	Monsanto Email Congratulating Donna Farmer, Bill Heydens and Others fo r Contributions to Williams et. al Paper Email communications wherein Monsanto employees Donna Farmer and Bill Heydens are congratulated by higher management for their contributions to the Williams et al (2000) publication. 6 Bates Title Description MONGLY02645629 MONGLY02645630- MONGLY02645653 8/23/2000
UNK:UNK	Monsanto Email Re: Hardell Follow -Up AND Reviews of Hardell & Erikson (99), Nordstrom et. al (98) and Letter to Editor of Journal That Published Hardell Study MONGLY02645629 is an 8- 23-00 email exchan ge between Donna Farmer, Clara Rubenstein and John Acquavella regarding follow -up to the Hardell study, a four -prong critique on its finding a link between Roundup and NHL. MONGLY02645630- MONGLY02645653 contains Dr. Acquavella’s and Donna Farmer’s critique of the Hardell (1999) study and associated reviews by Dr. Hans -Olav Adami and Dimitrios Trichopoulos, and Dr. Mark Cullen. The document also includes Monsanto’s letter to the editor of the journal that published the Hardell study. MONGLY03740001 5/4/2001
UNK:UNK	Monsanto Email Re: Giving “Roundup shirts” to individuals who worked on the Williams et al publication This document contains emails correspondence between Monsanto employees Katherine Carr and Thomas Hoogheem re “Roundup shirts.” The Monsanto employees discuss giving “Roundup polo shirts” to individuals who worked on the Williams et al publication “as a token of appreciation for a job well done...although I see a lot of people with logoed shirts.” 7 Bates Title Description MONGLY00888454 - MONGLY00888463 6/11/2002
UNK:UNK	Draft Manuscript “Glyphosate Stewardship, Epidemiology, and the Farm Family Exposure Study,” Team Members, John Acquavella, Marian Bleeke, Donna Farmer, Daniel Goldstein and Christophe Gustin This document contains a draft manuscript, “Glyphosate Stewardship, Epidemiology, and the Farm Family Exposure Study,” Team Mem bers, John Acquavella, Marian Bleeke, Donna Farmer, Daniel Goldstein and Christophe Gustin. MONGLY00893767 MONGLY00893768- MONGLY00893778 12/5/2002
UNK:UNK	Monsanto Email Re: Glyphosate Toxicity Summary AND Edits to Draft Manuscript “Review of the Aquatic Herbicides Aquamaster and Rodeo” MONGLY00893767 is email correspondence between Monsanto employees Donna Farmer, Martin Lemon, and CDFA’s Susan Monheit re: Glyphosate Toxicity Summary. Donna Farmer says, “During one editing, I had basically re -written the thing…” The email includes an attached draft manuscript (MONGLY00893768- MONGLY00893778) “Review of the Aquatic Herbicides Aquamaster and Rodeo” wherein Farmer has provided edits. 8 Bates Title Description MONGLY02394160 MONGLY02394161- MONGLY02394195 3/20/2008
UNK:UNK	Monsanto Email: Pamela Mink Sends Draft of Paper to Donna Farmer for “Review and Comments” AND Draft Manuscript of Pamela Mink Paper Pamela Mink sends a draft of her paper to Donna Farmer for review & comment 9 Bates Title Description MONGLY01185706 - MONGLY01185744 MONGLY01185784 MONGLY01185785- MONGLY01185822 MONGLY01185825 5/13/2008 – 5/22/2008
UNK:UNK	Donna Farmer Edits on Mink & Mandel Paper AND Monsanto Email: Daniel Goldstein and Donna Farmer Discuss Edits to Mink & Mandel Paper AND Daniel Goldstein Edits on Mink & Mandel Paper AND Donna Farmer and Other s Edit Mink & Mandel Paper MONGLY01185706- MONGLY01185744 is an email that includes Donna Farmer’s edits on Mink & Mandel paper. MONGLY01185784 is an email between Donna Farmer, Daniel Goldstein and others in which Farmer and Goldstein share comments and edits to Mink & Mandel paper. MONGLY01185785- MONGLY01185822 is Daniel Goldstein’s edits to Mink & Mandel paper. MONGLY01185825 is another email discussing edits to Mink & Mandel paper. MONGLY02286842 8/19/2008
UNK:UNK	Internal Email Showing Dr. Healy Asked Colleagues to Review Study That Found Roundup and Glyphosate Adverse Effects This document is an email from Dr. Charles Healy to Drs. Farmer and Saltmiras wherein Dr. Healy requests that Drs. Farmer and Saltmiras review the article that Dr. Healy has been asked to review: “you two would be the reviewers in fact and I would then collate your comments and be the reviewer of record.” at *1. 10 Bates Title Description MONGLY01189468 9/9/2008
UNK:UNK	Internal Email Showing Monsanto’s Effort to Silence Science Concluding Roundup Causes Adverse Health Effects This document is an email from Dr. Charles Healy to Drs. Donna Farmer and Da vid Saltmiras wherein Dr. Healy informs Drs. Farmer and Saltmiras that their decision regarding study sent to Dr. Healy for peer -review will determine whether the study will be published. MONGLY01238768 9/12/2008
UNK:UNK	Peer Review by Monsanto Scientist Charles Healy Recommending Rejection of Study That Found Glyphosate and Roundup Adverse Effects This document is a peer review by Monsanto employee Dr. Charles Healy of a study titled “Cytotoxicity of herbicide Roundup and its active ingredient, glyphosate in rats”. The document contains re commendations for rejecting the study w9/12ich found substantial adverse cytotoxic effects associated with Roundup and glyphosate. MONGLY00874417 6/8/2009
UNK:UNK	Monsanto Email Wherein Goldstein Provides His and Other Monsanto Employees’ Revisions to Draft Glyphosate Paper This document contains email correspondence between Monsanto employees, Daniel Goldstein, Richard Garnett, Donna Farmer and consultants Darren Roberts, Nick Buckley and others regarding Draft Glyphosate Paper wherein Goldstein provides his and other Monsanto employees revisions on the draft manuscript. 11 Bates Title Description MONGLY01013201 MONGLY01013205- MONGLY01013222 9/16/2009
UNK:UNK	Monsanto Email Re: Manuscript CBT0775 for Review - Saltmiras Comments AND Cell Biology and Toxicology, Draft Manuscript CBT0775: ‘Morp hological damage of in vitro glyphosate -treated keratinocytes revealed by a combined microscopic investigation’ MONGLY01013201 contains email correspondence between Monsanto employees David Saltmiras, Charles Healy, William Heydens, Donna Farmer, Steven L evine regarding Manuscript CBT0775 for peer review of a study showing glyphosate causes skin damage even though they are Monsanto employees with a conflict of interest; includes attachment (MONGLY01013205- MONGLY01013222), Cell Biology and Toxicology, Manus cript Number CBT0775 Morphological damage of in vitro glyphosate -treated keratinocytes revealed by a combined microscopic investigation. Healy writes: “David, if you would, please coordinate the comments on this paper and I will send them in under my name as that is how the journal has set it up.” —i.e. a ghostwritten peer review, another violation of peer review guidelines. MONGLY02097271 MONGLY02097276- MONGLY02097278 11/9/2010
UNK:UNK	Monsanto Email Re: Draft CLA Letter AND Edited CropLife America Letter to Editor of the Journal Chemical Research in Toxicology Re: Portrayal of Industry Research MONGLY02097271 is an email exchange between Joel Kronenberg, David Saltmiras and Sean Gehen discussing an edited draft CLA letter re industry research. MONGLY02097276- MONGLY02097278 is the edit ed letter. 12 Bates Title Description MONGLY00919381 11/18/2010
UNK:UNK	Monsanto Email from Donna Farmer Demonstrating Company Manipulation of Glyphosate Studies This document is an email and from Dr. Donna Farmer wherein she informs John DeSesso that she “added a section in genotox from the Gasnier study ...see a attached a critique we did that I took that from. Am working on a section for gasiner in the mechanist ic section. Also we cut and pasted in summaries of the POEA surfactant studies.” at *1. The attachment is a draft of the Williams et. al. study with significant edits by Dr. Farmer . 13 Bates Title Description MONGLY02406325 MONGLY02406337- MONGLY02406367 MONGLY02406368- MONGLY02406422 MONGLY02406423- MONGLY02406427 12/1/2010
UNK:UNK	and 3/1/2019 Monsanto Email Between Donna Farmer and Amy Williams Discussing Exponent Manuscript AND Donna Farmer Edits to Manuscript AND Roundup / Glyphosate Studies: Mladinic (2009), Prasad (2009), Cavalcante (2008), Conners (2003), Holeckova (2006), Piesova (2005), Bolognesi (2009) AND Evaluation of DNA damage in an Ecuadorian population exposed to glyphosate (Paz-y-Mino) In MONGLY02406325, Donna Farmer edits and sends a draft of the Exponent ma nuscript to Amy Williams. Williams asks David Saltmiras for clarification on a section he added: “David...you added this section, please respond.” 14 Bates Title Description MONGLY02066864 - MONGLY02066871 5/27/2011
UNK:UNK	Monsanto Email Re: IARC Internal email correspondence wherein David Saltmiras acknowledges that Donna Farmer initiated the Mandel manuscript. MONGLY00976966 3/1/2012
UNK:UNK	Monsanto Email Re: Anti-Glyphosate Campaign in Germany This document contains email correspondence between Monsanto employees Daniel Goldstein, Yong Gao, Eric Sachs, Susan Martino- Catt et al. regarding Anti -Glyphosate Campaign in Germany, where in Goldstein wrote of Monsanto’s broad solution: “We are certainly aware of and prepared to support this effort. The new publication se ries on Glyphosate (Williams 2012/repro, Mink 2012 /non- cancer epi, Mandel - pending- cancer outcomes, etc.) is designed to support this effort among other purposes.” MONGLY02145917 - MONGLY02145930 7/2012
UNK:UNK	Emails Between William Heydens, David Saltmiras and others Discussing Kier/Kirkland Study In these documents, Monsanto scientist David Saltmiras admits to writing manuscript of glyphosate genotoxicity literature with Larry Kier, a Monsanto consultant (MONGLY02145925). The email correspondence also details how adding scientist David Kirkland to the study would “add credibility.” (MONGLY02145918) “Adding David Kirkland as a co- author to both review papers would add £14,000 (pounds Stirling) to the project, which split by 25 seems a fair investment,” writes Christophe Gustin (Monsanto EU) in a discussi on about possible co- authors for glyphosate genotoxicity literature. David Saltmiras writes that adding Kirkland’s expertise to the genotoxicity manuscript “comes at a premium”: “David Kirkland believes his efforts will be less than 10 days at £1,400/day (equivalent to $21,780 with the current exchange rate), so we are effectively doubling the cost of the combined projects, but reaping significant value/credibility from David Kirkland's involvement. Given the growing number of questionable genotoxicity publications, in my mind this is worth the addition cost.” 15 Bates Title Description MONGLY00971543 8/12/2012 - 8/13/2012
UNK:UNK	Email Confirming Monsanto’s Intention to Pay Wallace Hayes (Editor of Food and Chemical Toxicology) as Consultant This document is an email from Dr. David Saltmiras to Dr. Heydens wherein Dr. Saltmiras “Contact Wallace Hayes to determine his availability and fees for attending the meeting.” MONGLY02788071 9/18/2012
UNK:UNK	Monsanto Email Re: Manuscript Moving Onward - Discussion with David Saltmiras and Monsanto Consultants Email containing discussions between David Saltmiras and Larry Kier and David Kirkland re Kier & Kirkland (2012) manuscript moving forward. MONGLY01123608 MONGLY01123609 12/6/2012
UNK:UNK	Monsanto Email: David Saltmiras Discusses Edits on Kier & Kirkland (2012) Manuscript AND Edits on Kier & Kirkland (2012) Manuscript MONGLY01123608 is an email wherein David Saltmiras discusses tracked additions to Kier & Kirkl and (2012) MONGLY01123609 is the attachment from the above email containing David Saltmiras’ edits on Kier & Kirkland manuscript 16 Bates Title Description MONGLY04699596 12/20/2012
UNK:UNK	Draft of Kier & Kirkland Manuscript Draft of Kier & Kirkland Manuscript MONGLY01129165 MONGLY01129167 1/25/2013
UNK:UNK	Monsanto Email Discussing David Saltmiras as Co -Author of Kier & Kirkland Paper AND Draft Manuscript: Review of Genotoxicity Studies of Glyphosate and Glyphosate -Based Formulatio ns MONGLY01129165 contains email correspondence between Monsanto’s David Saltmiras and a consultant regarding Co- author and including draft manuscript “Review of Genotoxicity Studies of Glyphosate and Glyphosate - Based Formulations.” Consultant writes: “ Just got off the phone with R. McClellan . Adding you as a co- author is possible. I need to send an email to Roger supporting this and he gave me some guidance for this.” MONGLY01129167 is a Draft Manuscript: Review of Genotoxicity Studies of Glyphosate and Glyphosate -Based Formulations with Saltmiras listed as an author. MONGLY04086537 1/28/2013
UNK:UNK	Monsanto Email Discussing whether David Saltmiras should be added as an author to Kier & Kirkland paper This document contains email correspondence between Monsanto’s David Sal tmiras and consultants Larry Kier and [REDACTED] regarding the question of whether Saltmiras should be added as an author to an article in which he made significant contributions. Saltmiras writes that this is the “fifth such Glyphosate related manuscript I have been involved with over the past few years without co- authorship.” Larry Keir complains that adding Saltmiras would mean the “authors would no longer be ‘independent.’” 17 Bates Title Description MONGLY04086520 1/28/2013
UNK:UNK	Monsanto Email Re: Adding David Saltmiras as author on Kier & Kirkland (2012) manuscript Discussion about adding David Saltmiras as author on Kier & Kirkland (2012) manuscript. MONGLY01995675 MONGLY01995676 3/16/2013
UNK:UNK	Monsanto Scientist John Vicini Contemplates Submitting Draft Manuscript as a Ghostwriter AND Animal Performance Trends in the United States and European Union Prior to and During Adoption of Genetically Modified Crops MONGLY01995675 is an email exchange in which John Vicini contemplates whether to be a ghostwriter of the attached article (MONGLY01995676) Animal Performance Trends in the United States and European Union Prior to and During Adoption of Genetically Modified Crops 18 Bates Title Description MONGLY01531298 MONGLY01531299 5/1/2013
UNK:UNK	Internal Manuscript Clearance Form for Greim Study Internal Manuscript Clearance form re Greim study MONGLY04234807 6/5/2013
UNK:UNK	Monsanto Email Re: Payment to Keith Solomon Monsanto Email Re: Payment to Keith Solomon 19 Bates Title Description MONGLY01227754 6/7/2013
UNK:UNK	Donna Farmer: David Saltmiras did a “nice job” working with Monsanto’s pre vious gentox expert on publication Donna Farmer stating that Saltmiras did a “nice job” working with Larry Kier on the Kier & Kirkland (2012) publication. MONGLY00980158 6/27/2013
UNK:UNK	Email Re: Publication List Where David Saltmiras Says He Should Have Been a Co-Author for Kier & Kirkland (2013) This document contains email correspondence between Monsanto’s David Saltmiras and Shawna Lemke regarding Publication list, wherein Saltmiras writes: “Key publications where I'm not a coauthor (and justifiably so for all, except the first one)” MONGLY01076912 10/30/2014
UNK:UNK	Monsanto Email Re: Glyphosate Carcinogenicity Manuscript Status and Reviewers This document contains email correspondence between Monsanto’s David S altmiras and Critical Reviews in Toxicology editor, Roger McClellen regarding Glyphosate Carcinogenicity Manuscript Status and Reviewers, where in Saltmiras writes: “The glyphosate carcinogenicity paper is still caught up in internal review (lawyers).” MONGLY07596997 - MONGLY07597000 11/2014
UNK:UNK	Monsanto Press Release Promoting Williams, Kroes and Munro (2000) Article This document is a Monsanto Press Release promoting the article “Safety Evaluation and Risk Assessment of the Herbicide Roundup and its Active Ingredient, Glyphosate for Humans” in the names of Williams, Kroes and Munro (2000) 20 Bates Title Description MONGLY00977264 - MONGLY00977270 2/2015
UNK:UNK	Email Correspondence Wherein William Heydens Suggests Experts Could ‘E dit & Sign Their Names’ to Scientific Paper These documents contain email correspondences between William Heydens and other Monsanto personnel. In one exchange, Heydens suggests adding the names of experts to scientific papers to cut down on costs (a pract ice used by Monsanto in the past): “ An option would be to add Greim and Kier or Kirkland to have their names on the publication, but we would be keeping the cost down by us doing the writing and they would just edit & sign their names so to speak. Recall t hat is how we handled Williams Kroes & Munro, 2000.” MONGLY02078597 2/19/2015
UNK:UNK	Monsanto Email Re: IARC Planning This document contains an email chain between Monsanto’s David Saltmiras, William Heydens, Donna Farmer and others regarding IARC planning. Heydens describes a plan to publish ghostwritten articles in toxicology journals. Saltmiras contacted editor, Roger McClellen, at Critical Reviews in Toxicology about preparing a “very compelling story” about glyphosate. Heydens responds: “If he ultimately doesn’t want to run it in CRT, I’m sure we can find some journal to take it.” KIERPROD00026992 – KIERPROD00026997 KIERPROD00027004 2/19- 20/2015
UNK:UNK	Monsanto Email Re: Greim et al. (2015) & Kier ( 2015) summaries, abstracts and sound bites AND Monsanto Email Re: Greim et al. (2015) & Kier (2015) summaries, abstracts and sound bites (continued) This email chain is correspondence betwe en Monsanto’s David Saltmiras, Critical Reviews in Toxicology editor, Roger McClellen, and journal owner Taylor & Francis’ Charles Whalley regarding promotion of Monsanto- sponsored articles defending glyphosate in anticipation of IARC’s carcinogenic hazard classification of glyphosate. Kier complains that the summary of his paper provided by Saltmiras does not accurately characterize his paper and he is uncomfortable with publicity directed at the biomonitoring study. In KIERPROD00027004 , Dr. Kier notes concern with a summary of his article drafted by Monsanto: “I really don't want to have inappropriate absolutes representing this review.” 21 Bates Title Description MONGLY01087311 2/20/2015
UNK:UNK	Monsanto Email Wherein Kier Writes: “I don't know who wrote the ‘Summary’ for my paper…it is not the way I would have worded it…” MONGLY01087311 contains email correspondence between Monsanto’s David Saltmiras and Critical Reviews in Toxicology editor, Roger McClellen, and consultant Larry Kier regarding Gre im et al. (2015) & Kier (2015) summaries, abstracts and sound bites , wherein Kier writes: “I don't know who wrote the ‘Summary’ for my paper and certainly don't want to offend them but it is not the way I would have worded it and I would personally not wan t this used to characterize my paper.” MONGLY04022335 2/22/2015
UNK:UNK	Monsanto consultant concerned about affiliation with Monsanto Monsanto consultant Larry Kier concerned about affiliat ion with Monsanto. MONGLY01005425 MONGLY06994696 2/23/2015 - 2/24/2015
UNK:UNK	and 7/22 /2019 Internal Monsanto Email Detailing Company Effort to Preemptively Criticize IARC in the Press Ahead of Glyphosate Report AND Monsanto Email Re: Opportunity: Glyphosate and IARC MONGLY01005425 is a document that contains email correspondence b etween Eric Sachs (Monsanto) and Henry Miller, a Forbes contributor and fellow of the Stanford Hoover institute. Mr. Sachs asks Mr. Miller: “Are you interested in writing a column on this topic? Ideally, your article would precede the IARC decision. Why no t set the table with the weight of scientific evidence before IARC convenes? Then, regardless of what they do, your article will set the stage for a science- based response.” at *2. Moreover, Mr. Sachs informs his Monsanto colleagues: “Henry agreed to author an article on Forbes.com. John will work with a team internally to provide a draft and Henry will edit/add to make it his own.” at *1. MONGLY06994696 is a continuation of the email described above. 22 Bates Title Description MONGLY02063611, MONGLY02063572 3/12/2015 - 3/18/2015
UNK:UNK	Internal Email Demonstrating Monsanto Ghostwriting Article Criticizing IARC for Press This document contains email correspondence between various Monsanto personnel and Henry Miller. Mr. Miller is asked by Monsanto to write about the IARC decision and Mr. Miller responds with a request for a “high quality draft. ” at *6. Mr. Eric Sachs (Monsanto) informs Mr. Miller that “We have a draft nearly done and will send to you by tomorrow.” at *5. MONGLY02733179 MONGLY02733180 3/25/2015
UNK:UNK	Monsanto Email: Glyphosate Expert List and Third Parties AND Glyphosate Expert List Draft: March 18, 2015 MONGLY02733179 is an email correspondence between Jennifer Listello, William Heydens and Kelly Clauss with an attachment (MONGLY02733180) Glyphosate Expert List Draft: March 18, 2015 ACQ UAVELLAPROD00010215 3/25/2015 – 4/9/2015
UNK:UNK	Monsanto Email Re: NEED INPUT: WHO report on Glyphosate and Cancer -ICABR Session in June This document contains email correspondence betwee n John Acquavella and Monsanto employees, Donna Farmer, William Heydens and others, regarding NEED INPUT: WHO report on Glyphosate and Cancer -ICABR Session in June. N/A 5/2015
UNK:UNK	Monsanto Proposal for Post-IARC Meeting Scientific Projects This is a Monsanto presentation outlining strategies in respon se to the IARC report. One suggestion: ‘Publication on Animal Carcinogenicity Data’ could be completed with a “[m]ajority of writing done by Monsanto, keeping OS$ down.” 23 Bates Title Description MONGLY01023968 5/8/2015 - 5/11/2015
UNK:UNK	Internal Email Shows Monsanto Involvement with Scientific Studies Without Disclosing Conflicts of Interest This doc ument contains email correspondence between Michael Koch and Dr. William Heydens regarding “Post -IARC Activities to Support Glyphosate”. Dr. Heydens explicitly identifies one of the goals as “Publication on Animal Data Cited by IARC…Manuscript to be initia ted by Mon as ghost writers”. at *1. MONGLY03502994 5/28/2015
UNK:UNK	Monsanto Email: Steven Levine Discussion of SETAC Symposium Invitation Email exchange between Steven Levine, Zhang Bei, Tra cey Reynolds and others discussing SETAC symposium. Steven Levine calls the SETAC symposium “the most important forum to engage academic ‘collaborators.’ These are the ambassadors that defend our products and our science (e.g., Keith Solomon, John Giesy, J ohn Rodgers, etc).” 24 Bates Title Description MONGLY03500775 MONGLY03500776 MONGLY03500777 6/24/2015
UNK:UNK	Monsanto Email Discussing Expert Panel Proposal and Post-IARC Meeting Science Proposals AND Monsanto Presentation: Proposal for IARC Monograph Expert Panel Review – Glyphosate Ste ering Team (June 2015) AND Monsanto Presentation: Proposal for Glyphos ate Expert Panel – Glyphosate Strategy Team Meeting June 2015 MONGLY03500775 contains email correspondence between Monsanto employees, Jennifer Listello, David Heering and William Heydens, regarding Expert Panel Proposal 6- 24-15.pptx and includes two atta chments, PowerPoint presentations, Post -IARC Meeting Science Proposals- Expert Panel.pptx (MONGLY03500776) and Expert Panel Proposal 6- 24-15.pptx (MONGLY03500777) MONGLY00943389 6/29/2015
UNK:UNK	Monsanto Email Re: IARC, glyphosate and NHL question This document contains email correspondence between Monsanto employee Daniel Goldstein and Samuel Cohen of UNMC regarding IARC, Glyphosate, and NHL question wherein Goldstein invites Cohen to join the expert panel. 25 Bates Title Description MONGLY00992949 MONGLY00992953 7/1/2015
UNK:UNK	Email Between William Heydens and Ashley Roberts (Intertek) Re: Expert Panel AND Glyphosate Expert Panelists PowerPoint MONGLY00992949 contains email correspondence between Monsanto employee William Heydens and Intertek’s Ashley Roberts regarding Expert Panel, and including an attachment, PowerPoint (MONGLY00992953), Glyphosate Expert Panelists.pptx. Heydens writes: “We just learned this morning that we can't have you send out 'invitations' until the names have been appr oved by our legal group.” MONGLY00903931 7/10/2015
UNK:UNK	Monsanto Email Re: Glyphosate Expert Panel with Press Release This document contains email exchanges between various present and former Monsanto employees, consultants and Intertek’s Ashley Roberts regarding the Glyphosate Expert Panel, and includes a press release, “Third - party panel to conduct review of IARC monograph on glyphosate.” MONGLY01025451 7/29/2015
